dataset,direction,side,group,weightHP
hemibrain:v1.2.1,SIFa_to_target,R,APL,19
hemibrain:v1.2.1,SIFa_to_target,R,DAN,132
hemibrain:v1.2.1,SIFa_to_target,R,DPM,21
hemibrain:v1.2.1,SIFa_to_target,R,KC_alpha_beta,169
hemibrain:v1.2.1,SIFa_to_target,R,KC_alpha_prime_beta_prime,9
hemibrain:v1.2.1,SIFa_to_target,R,KC_gamma,37
hemibrain:v1.2.1,SIFa_to_target,R,MBON,68
hemibrain:v1.2.1,SIFa_to_target,R,PDF_positive_LNv,16
hemibrain:v1.2.1,SIFa_to_target,R,fifth_s_LNv_LNd6_associated,1
hemibrain:v1.2.1,SIFa_to_target,R,other,3303
hemibrain:v1.2.1,target_to_SIFa,R,APL,3
hemibrain:v1.2.1,target_to_SIFa,R,DAN,46
hemibrain:v1.2.1,target_to_SIFa,R,DPM,21
hemibrain:v1.2.1,target_to_SIFa,R,KC_alpha_beta,134
hemibrain:v1.2.1,target_to_SIFa,R,KC_alpha_prime_beta_prime,3
hemibrain:v1.2.1,target_to_SIFa,R,KC_gamma,32
hemibrain:v1.2.1,target_to_SIFa,R,MBON,10
hemibrain:v1.2.1,target_to_SIFa,R,PDF_positive_LNv,4
hemibrain:v1.2.1,target_to_SIFa,R,other,1907
