sifa_body_id,partner_body_id,weight,weightHP,partner_type,partner_instance,partner_hemibrainType,partner_class,partner_subclass,partner_superclass,partner_somaSide,partner_rootSide,direction,dataset,group,side
699031185,294424196,1,1,SLP315,SLP315_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,294428266,1,1,SLP363,SLP363_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,294783216,1,1,SLP403,SLP403_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,294787849,1,1,LHPV5e2,LHPV5e2_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,295136965,2,2,FB1E_b,FB1E_b_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,296358430,1,1,,,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,296509709,1,1,SMP499,SMP499_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,296543992,1,1,SLP385,SLP385_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,297230760,1,1,5-HTPMPD01,5-HTPMPD01_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,297580512,1,1,SMP486_a,SMP486_a_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,297588775,1,1,SMP481,SMP481_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,297860964,1,1,,,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,298214577,1,1,SLP244,SLP244_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,298254380,2,2,SMP484,SMP484_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,298262408,1,1,,(MBDLaxon1),,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,298275356,1,1,SMP545,SMP545_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,298542439,1,1,SIP082,SIP082_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,298616761,1,1,SMP095,SMP095_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,299083134,1,1,,(PDM05)_L,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,300972942,2,1,MBON14,MBON14(a3)_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,MBON,R
699031185,301314154,1,1,KCab-c,KCab-c_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,KC_alpha_beta,R
699031185,326119769,2,1,SLP457,SLP457(SCB013)_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,327499164,1,1,LHCENT2,LHCENT2_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,327506825,1,1,LHPV6a11_a,LHPV6a11_a_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,327592562,1,1,SMP582,SMP582_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,327596420,1,1,SMP484,SMP484_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,327881747,1,1,SLP421,SLP421_R,,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
699031185,327937506,2,2,,(MBDLaxon1),,,,,,,SIFa_to_target,hemibrain:v1.2.1,other,R
