sifa_body_id,partner_body_id,weight,weightHP,partner_type,partner_instance,partner_hemibrainType,partner_class,partner_subclass,partner_superclass,partner_somaSide,partner_rootSide,direction,dataset,group,side
10342,10011,1,1,OA-AL2i1,OA-AL2i1_L,P1-9,,,visual_centrifugal,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10085,7,5,Am1,Am1_L,,,,ol_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10086,1,1,DH44,DH44_L,"PI1,PI2,PI3",,,cb_endocrine,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10096,3,3,lLN2F_a,lLN2F_a(Full)_L,lLN2F_a,ALLN,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10111,5,4,DM3_adPN,DM3_adPN_L,DM3_adPN,ALPN,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10120,1,1,OA-VPM4,OA-VPM4_L,OA-VPM4,,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10126,3,3,DP1m_adPN,DP1m_adPN_L,DP1m_adPN,ALPN,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10129,2,2,LoVC16,LoVC16_L,PVLP132,,,visual_centrifugal,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10133,9,8,lLN2F_b,lLN2F_b(Full)_L,lLN2F_b,ALLN,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10142,1,1,MeVP24,MeVP24_L,,,,visual_projection,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10157,21,14,CT1,CT1_R,CT1,,,ol_intrinsic,R,,SIFa_to_target,male-cns:v1.0,other,R
10342,10165,2,2,AN05B101,AN05B101_L,,,BA,ascending_neuron,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10176,1,1,DM1_lPN,DM1_lPN_R,DM1_lPN,ALPN,,cb_intrinsic,R,,SIFa_to_target,male-cns:v1.0,other,R
10342,10189,1,1,MeVPMe2,MeVPMe2_R,,,,visual_projection,R,,SIFa_to_target,male-cns:v1.0,other,R
10342,10190,1,1,MeVPMe2,MeVPMe2_R,,,,visual_projection,R,,SIFa_to_target,male-cns:v1.0,other,R
10342,10204,1,1,OA-AL2i2,OA-AL2i2_L,,,,visual_centrifugal,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10208,4,4,DM1_lPN,DM1_lPN_L,DM1_lPN,ALPN,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10256,1,1,MeVPMe2,MeVPMe2_L,,,,visual_projection,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10262,1,1,V_ilPN,V_ilPN_L,V_ilPN,ALPN,BI,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10271,56,53,Pm11,Pm11_L,,,,ol_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10272,1,1,MeVPMe2,MeVPMe2_L,,,,visual_projection,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10305,5,4,LHPV12a1,LHPV12a1_L,LHPV12a1,,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10319,1,1,AVLP215,AVLP215_L,AVLP215,,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10321,1,1,VL2p_adPN,VL2p_adPN_L,VL2p_adPN,ALPN,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10336,1,1,DNg22,DNg22_R,,,xn,descending_neuron,R,,SIFa_to_target,male-cns:v1.0,other,R
10342,10340,1,1,MeVPMe1,MeVPMe1_L,,,,visual_projection,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10343,1,1,MeVPMe1,MeVPMe1_R,,,,visual_projection,R,,SIFa_to_target,male-cns:v1.0,other,R
10342,10359,1,1,DL1_adPN,DL1_adPN_L,DL1_adPN,ALPN,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10376,7,3,lLN2F_b,lLN2F_b(Full)_L,lLN2F_b,ALLN,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10378,1,1,AL-MBDL1,AL-MBDL1_R,AL-MBDL1,ALIN,,cb_intrinsic,R,,SIFa_to_target,male-cns:v1.0,other,R
10342,10397,4,4,lLN2T_a,lLN2T_a(Tortuous)_L,lLN2T_a,ALLN,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10407,2,2,AVLP609,AVLP609_L,,,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10414,146,141,LT33,LT33_R,LT33,,,ol_intrinsic,R,,SIFa_to_target,male-cns:v1.0,other,R
10342,10447,3,3,DNge138,DNge138_M,,,xn,descending_neuron,M,,SIFa_to_target,male-cns:v1.0,other,unknown
10342,10459,2,2,lLN2F_a,lLN2F_a(Full)_L,lLN2F_a,ALLN,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10463,2,2,lLN1_bc,lLN1_bc_L,"lLN1_b,lLN1_c",ALLN,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10470,6,5,DC1_adPN,DC1_adPN_L,DC1_adPN,ALPN,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10473,1,1,il3LN6,il3LN6_R,il3LN6,ALLN,,cb_intrinsic,R,,SIFa_to_target,male-cns:v1.0,other,R
10342,10488,45,43,Pm11,Pm11_L,,,,ol_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10507,2,1,GNG701m,GNG701m_L,,,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10536,1,1,DNg29,DNg29_L,,,xn,descending_neuron,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10539,2,2,EPG,EPG(PB08)_R2,EPG,CX,,cb_intrinsic,R,,SIFa_to_target,male-cns:v1.0,other,unknown
10342,10540,5,5,APL,APL_R,APL,,,cb_intrinsic,R,,SIFa_to_target,male-cns:v1.0,APL,R
10342,10561,4,3,VA2_adPN,VA2_adPN_L,VA2_adPN,ALPN,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10593,2,1,AL-MBDL1,AL-MBDL1_L,AL-MBDL1,ALIN,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10598,1,1,WED191,WED191_M,,,,cb_intrinsic,M,,SIFa_to_target,male-cns:v1.0,other,unknown
10342,10617,1,1,GNG105,GNG105_R,,,,cb_intrinsic,R,,SIFa_to_target,male-cns:v1.0,other,R
10342,10624,2,2,ExR5,ExR5_R,ExR5,CX,,cb_intrinsic,R,,SIFa_to_target,male-cns:v1.0,other,R
10342,10632,4,4,lLN1_bc,lLN1_bc_L,"lLN1_b,lLN1_c",ALLN,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10665,1,1,DH44,DH44_L,"PI1,PI2,PI3",,,cb_endocrine,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10683,1,1,SLP003,SLP003_R,SLP003,,,cb_intrinsic,R,,SIFa_to_target,male-cns:v1.0,other,R
10342,10692,6,2,AN05B101,AN05B101_R,,,BA,ascending_neuron,R,,SIFa_to_target,male-cns:v1.0,other,R
10342,10705,4,3,DNc02,DNc02(SIFa)_L,SIFa,,xn,descending_neuron,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10739,1,1,DNg24,DNg24_L,,,xn,descending_neuron,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10753,2,1,PPL201,PPL201_L,PPL201,DAN,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,DAN,L
10342,10767,7,7,DL5_adPN,DL5_adPN_L,DL5_adPN,ALPN,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
10342,10786,1,1,VC5_lvPN,VC5_lvPN_R,VC3m_lvPN,ALPN,,cb_intrinsic,R,,SIFa_to_target,male-cns:v1.0,other,R
10342,10791,1,1,CB3024,CB3024_L,,,,cb_intrinsic,L,,SIFa_to_target,male-cns:v1.0,other,L
