dataset,direction,side,group,weightHP
hemibrain:v1.2.1,SIFa_to_target,R,APL,19
hemibrain:v1.2.1,SIFa_to_target,R,DAN,132
hemibrain:v1.2.1,SIFa_to_target,R,DPM,21
hemibrain:v1.2.1,SIFa_to_target,R,KC_alpha_beta,169
hemibrain:v1.2.1,SIFa_to_target,R,KC_alpha_prime_beta_prime,9
hemibrain:v1.2.1,SIFa_to_target,R,KC_gamma,37
hemibrain:v1.2.1,SIFa_to_target,R,MBON,68
hemibrain:v1.2.1,target_to_SIFa,R,APL,3
hemibrain:v1.2.1,target_to_SIFa,R,DAN,46
hemibrain:v1.2.1,target_to_SIFa,R,DPM,21
hemibrain:v1.2.1,target_to_SIFa,R,KC_alpha_beta,134
hemibrain:v1.2.1,target_to_SIFa,R,KC_alpha_prime_beta_prime,3
hemibrain:v1.2.1,target_to_SIFa,R,KC_gamma,32
hemibrain:v1.2.1,target_to_SIFa,R,MBON,10
male-cns:v1.0,SIFa_to_target,L,APL,14
male-cns:v1.0,SIFa_to_target,L,DAN,8
male-cns:v1.0,SIFa_to_target,L,KC_alpha_beta,65
male-cns:v1.0,SIFa_to_target,L,KC_alpha_prime_beta_prime,2
male-cns:v1.0,SIFa_to_target,L,KC_gamma,4
male-cns:v1.0,SIFa_to_target,L,MBON,5
male-cns:v1.0,SIFa_to_target,L+R,APL,19
male-cns:v1.0,SIFa_to_target,L+R,DAN,20
male-cns:v1.0,SIFa_to_target,L+R,KC_alpha_beta,99
male-cns:v1.0,SIFa_to_target,L+R,KC_alpha_prime_beta_prime,5
male-cns:v1.0,SIFa_to_target,L+R,KC_gamma,13
male-cns:v1.0,SIFa_to_target,L+R,MBON,7
male-cns:v1.0,SIFa_to_target,R,APL,5
male-cns:v1.0,SIFa_to_target,R,DAN,12
male-cns:v1.0,SIFa_to_target,R,KC_alpha_beta,34
male-cns:v1.0,SIFa_to_target,R,KC_alpha_prime_beta_prime,3
male-cns:v1.0,SIFa_to_target,R,KC_gamma,9
male-cns:v1.0,SIFa_to_target,R,MBON,2
male-cns:v1.0,target_to_SIFa,L,APL,1
male-cns:v1.0,target_to_SIFa,L,DAN,7
male-cns:v1.0,target_to_SIFa,L,DPM,4
male-cns:v1.0,target_to_SIFa,L,KC_alpha_beta,60
male-cns:v1.0,target_to_SIFa,L,KC_gamma,1
male-cns:v1.0,target_to_SIFa,L,MBON,1
male-cns:v1.0,target_to_SIFa,L+R,APL,3
male-cns:v1.0,target_to_SIFa,L+R,DAN,13
male-cns:v1.0,target_to_SIFa,L+R,DPM,4
male-cns:v1.0,target_to_SIFa,L+R,KC_alpha_beta,64
male-cns:v1.0,target_to_SIFa,L+R,KC_gamma,1
male-cns:v1.0,target_to_SIFa,L+R,MBON,1
male-cns:v1.0,target_to_SIFa,R,APL,2
male-cns:v1.0,target_to_SIFa,R,DAN,6
male-cns:v1.0,target_to_SIFa,R,KC_alpha_beta,4
